Prompt ID,Capability,Subtype,Difficulty,Difficulty Status,Prompt,Expected Behavior,Primary Assertion,Fixture Conditions,Reason for Inclusion,Primary Semantic Behavior,Faults Potentially Sensitive To,Source / Design Rationale,Revision Status,Revision Note
SFC-011,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,Write a response confirming a cancellation. Do not use the word 'cancel' or 'cancelled' anywhere.,case-insensitive absence of 'cancel' and 'cancelled',case-insensitive absence of 'cancel' and 'cancelled',N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Single forbidden-word-family case, anchors the subtype.",Keyword-family suppression.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-011, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-012,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Write an incident-status update. Do not use any of these words: 'error', 'failure', or 'crash'.",case-insensitive absence of all three forbidden words,case-insensitive absence of all three forbidden words,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,A multi-word forbidden list raises difficulty over a single forbidden word without adding a second behavior.,Suppression of a closed forbidden-word set.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-012, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-013,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,Describe how to make scrambled eggs without mentioning any specific number of eggs or minutes.,no numerals or number-words referring to egg count or cooking time appear in the response,no numerals or number-words referring to egg count or cooking time appear in the response,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Excludes an entire lexical category rather than one literal word.,Category-level lexical suppression.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-013, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-014,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,Write a safety notice. Your response must not contain any digits (0-9) anywhere.,no character in '0123456789' appears in the response,no character in '0123456789' appears in the response,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Excludes an entire character class rather than a word or word family.,Character-class suppression.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-014, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-015,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,Recommend a movie to a friend without using the word 'good' or any of its comparative or superlative forms.,"absence of 'good', 'better', and 'best'","absence of 'good', 'better', and 'best'",N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Requires suppressing an entire inflectional family of an evaluative word.,Inflectional-family suppression.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-015, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-016,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,List two shipping options. Respond with exactly 2 numbered lines and nothing else.,line_count == 2 AND each line matches a numbered-list pattern,line_count == 2 AND each line matches a numbered-list pattern,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Simplest structural-container case.,Numbered-list structural compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-016, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-017,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Write a FAQ entry. Respond in exactly this structure: one line starting with 'Q:' followed by one line starting with 'A:', and nothing else.",2 lines; line 1 starts with 'Q:'; line 2 starts with 'A:',2 lines; line 1 starts with 'Q:'; line 2 starts with 'A:',N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Fixed-prefix structural format, a different structural mechanism than a numbered list.",Fixed-prefix structural compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-017, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-018,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Wrap a short greeting message for a new customer between a line of exactly five equals signs (=====) above it and a line of exactly five equals signs below it, with nothing else outside those two lines.","response is exactly 3 lines: '=====', a short greeting message, '====='; nothing appears outside the two delimiter lines","response is exactly 3 lines: '=====', a short greeting message, '====='; nothing appears outside the two delimiter lines",N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Tests a delimiter/wrapper structural mechanism distinct from numbered lists, fixed prefixes, quote-wrapping, and section headers, without relying on JSON validity (Capability 2's territory).",Delimiter-wrapper structural compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Replaces SFR-018's JSON-envelope prompt, which tested Capability 2 content under a Capability 1 label (Problem B).",MODIFIED,Removed the 'one-sentence' secondary constraint and the undefined vacation-policy content (Issues 1 & 6).
SFC-019,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Write a product caption. Your entire response must be wrapped in double quotation marks, with no text outside the quotes.","response matches ^"".*""$ with no characters outside the outer quotes","response matches ^"".*""$ with no characters outside the outer quotes",N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Envelope/wrapper constraint applied to the whole response rather than to individual lines.,Whole-response wrapper compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-019, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-020,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Write a short announcement divided into exactly 2 sections, each beginning with a bolded header in the form **Section Name**.","exactly 2 section headers matching **...** pattern, each followed by body text","exactly 2 section headers matching **...** pattern, each followed by body text",N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"A single repeated structural pattern (N sections, each following one header format), not a compound of two independent behaviors.",Section-count-plus-header-marker structural compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-020, unchanged; explicitly distinguished from the genuine compounds at SFR-005/SFR-010.",KEEP,No prompt or expected-behavior change in this pass.
SFC-021,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,Reply in French: 'Your order has shipped.',response is entirely in French and conveys that the order has shipped (a direct translation of the given statement; no external fact required),response is entirely in French and conveys that the order has shipped (a direct translation of the given statement; no external fact required),N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Simplest direct language-selection instruction.,Direct-imperative language selection.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-021, unchanged.",MODIFIED,Replaced an unstated shipping-status confirmation with a fully self-contained translation task (Issue 6).
SFC-022,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,A customer wrote asking about a refund in Spanish. Respond in Spanish.,response is entirely in Spanish,response is entirely in Spanish,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Language selection triggered by a described input language rather than a bare imperative.,Described-cue language selection.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-022, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-023,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,Write a confirmation in German that the customer's refund has been processed.,response is entirely in German; content is a refund-processed confirmation (no external fact required to verify),response is entirely in German; content is a refund-processed confirmation (no external fact required to verify),N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Combines a language constraint with a self-contained content task (not an open factual question with no defined answer), a fully deterministic Moderate case.",Language selection combined with a self-contained generative task.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Rewritten from SFR-023 to remove an unverifiable, no-ground-truth factual sub-question (Determinism Issue).",MODIFIED,"Removed the unnecessary 'one-sentence' requirement to isolate Response Language Fidelity, per the reviewer's own worked example."
SFC-024,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,A customer wrote to us: 'Merci beaucoup for your help!' Reply to them in French.,response is entirely in French despite the embedded English clause in the customer's message,response is entirely in French despite the embedded English clause in the customer's message,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Tests whether the model fully commits to the target output language despite an in-prompt mixed-language distractor, a genuinely distinct mechanism from a bare imperative or a described-language cue.",Distractor-resistant language selection.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)",Rewritten from SFR-024 to remove the compound language-plus-sentence-count condition (Problem A).,KEEP,No prompt or expected-behavior change in this pass.
SFC-025,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,The customer is a native Portuguese speaker. Reply to their thank-you message in kind.,response is entirely in Portuguese,response is entirely in Portuguese,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,The target language must be inferred from a descriptive cue rather than stated directly.,Inferred-cue language selection.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-025, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-026,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"List the days Monday, Wednesday, and Friday as our support hours, in that exact order, separated by commas, and nothing else.","exact string match: 'Monday, Wednesday, Friday'","exact string match: 'Monday, Wednesday, Friday'",N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,Simplest fixed-order list case.,Fixed-order list compliance.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-026, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-027,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Describe the three steps to reset a password: request a reset link, click the link, set a new password. Present these three steps in exactly this order, with no extra steps.","the response mentions 'request a reset link' before 'click the link' before 'set a new password', with no additional steps mentioned; no particular line or list formatting is required","the response mentions 'request a reset link' before 'click the link' before 'set a new password', with no additional steps mentioned; no particular line or list formatting is required",N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Procedural (not merely list) ordering, a different scenario type from SFR-026.",Procedural-sequence ordering.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-027, unchanged.",MODIFIED,Removed 'each on its own line' formatting requirement to isolate Ordering/Sequencing.
SFC-028,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"State the four seasons in the order they occur, starting from spring.",the response mentions Spring before Summer before Fall before Winter; no particular line or list formatting is required,the response mentions Spring before Summer before Fall before Winter; no particular line or list formatting is required,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Ordering anchored to an external, verifiable canonical sequence.",Canonical-sequence ordering.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-028, unchanged.",MODIFIED,Removed 'one per line' formatting requirement to isolate Ordering/Sequencing.
SFC-029,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Describe the five steps of our order fulfillment process: order placed, payment verified, item picked, item packed, item shipped. Present them in exactly this order, with no steps added, removed, or reordered.",the response mentions all five steps in the exact stated relative order (order placed < payment verified < item picked < item packed < item shipped) with no additions or omissions; no numbered-list formatting is required,the response mentions all five steps in the exact stated relative order (order placed < payment verified < item picked < item packed < item shipped) with no additions or omissions; no numbered-list formatting is required,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,A longer sequence raises the chance of a transposition or omission error.,Longer-sequence ordering.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-029, unchanged.",MODIFIED,Removed 'numbered list' formatting requirement to isolate Ordering/Sequencing.
SFC-030,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Explain how to escalate a support ticket, presenting these steps in exactly this order: first the agent reviews the ticket, then if the agent cannot resolve it a supervisor is notified, and finally the ticket is closed. Do not add, remove, or reorder any step.",the response presents the three steps in the stated relative order (review < conditional supervisor notification < closure) and preserves the conditional qualifier ('if the agent cannot resolve it') attached to the second step; no additions or omissions; no numbered-list formatting is required,the response presents the three steps in the stated relative order (review < conditional supervisor notification < closure) and preserves the conditional qualifier ('if the agent cannot resolve it') attached to the second step; no additions or omissions; no numbered-list formatting is required,N/A -- Capability 1 items are not schema-based; the instructed content itself is not separately scored beyond the single tested behavior.,"Adds a conditional branch within a numbered sequence, now scored as a fixed structural match rather than free-form prose.",Ordering fidelity under a conditional (branching) structure.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)",Rewritten from SFR-030 to replace a free-form-explanation scorer with a deterministic fixed-line match (Determinism Issue).,MODIFIED,"Removed 'numbered list' formatting requirement to isolate Ordering/Sequencing, while keeping the conditional-branch content as the genuine difficulty driver."
SFC-031,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return a JSON object with exactly two fields: ""name"" (string) set to ""Basic Plan"" and ""price"" (number) set to 9.99. Output only the JSON object.","JSON parses; keys == {name, price}; name == ""Basic Plan""; price == 9.99 as a number","Object contains exactly the two specified keys (name, price) with correct types.","Specific values ('Basic Plan', 9.99) needed to instantiate the object.",Simplest two-field mixed-type flat schema.,Flat-schema field presence and value accuracy.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-031, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-032,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Easy,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return a JSON object with fields ""city"" (string) = ""Austin"" and ""zip"" (string) = ""78701"". Output only JSON.",JSON parses; both fields present and exact-matched; zip kept as string,"Object contains exactly the two specified keys (city, zip) with correct (string) types.","Specific values ('Austin', '78701') needed to instantiate the object.",Both-string-type variant.,Flat-schema field presence with string-typed numeric-looking value.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-032, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-033,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with fields ""name"" (string) = ""Wireless Mouse"", ""price"" (number) = 24.99, and ""in_stock"" (boolean) = true. Output only JSON.","JSON parses; 3 keys present and exact-matched, in_stock is boolean type",Object contains exactly the three specified keys with correct types (incl. boolean).,"Specific values ('Wireless Mouse', 24.99, true) needed to instantiate the object.",Adds a third field and a boolean type to the flat-presence check.,Flat-schema field presence across three mixed types.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-033, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-034,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Moderate,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with only the field ""id"" (integer) = 5. Do not include any other fields, even optional ones.","JSON object has exactly one key, ""id"", equal to 5, with zero extra keys",Object contains exactly one key ('id') with zero extraneous keys.,"Specific value (5, integer) needed to instantiate the object.",Tests suppression of unrequested fields as a flat-presence discipline.,Suppression of extraneous fields.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-034, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
SFC-035,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Hard,Design label (semantic-subtlety basis); not yet empirically calibrated,"Return JSON with exactly four fields: ""order_id"" (integer) = 88, ""customer"" (string) = ""J. Rivera"", ""placed_on"" (string, ISO date format) = ""2026-03-14"", and ""paid"" (boolean) = true.",JSON parses; 4 keys exact-matched; placed_on matches YYYY-MM-DD format,"Object contains exactly the four specified keys, correct types, correct date format.","Specific values (88, 'J. Rivera', '2026-03-14', true) needed to instantiate the object.",Four fields including one format-constrained string field raises difficulty via field count and format precision.,Flat-schema field presence with a format-constrained field.,"Hypothesized sensitivity (design-basis, not empirically validated) -- F1 (quantization), F2 (checkpoint/version regression), F4 (chat-template mismatch), F5 (decoding-config drift), F8 (stale/wrong LoRA adapter)","Original SFR-035, unchanged.",KEEP,No prompt or expected-behavior change in this pass.
