Prompt ID,Previous Prompt,Final Prompt,Previous Expected Behavior,Final Expected Behavior,Decision,Issue Found,Fix Applied,Final Capability,Final Subtype,Final Difficulty,Remaining Concern
SFC-011,Write a response confirming a cancellation. Do not use the word 'cancel' or 'cancelled' anywhere.,Write a response confirming a cancellation. Do not use the word 'cancel' or 'cancelled' anywhere.,case-insensitive absence of 'cancel' and 'cancelled',case-insensitive absence of 'cancel' and 'cancelled',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Easy,None.
SFC-012,"Write an incident-status update. Do not use any of these words: 'error', 'failure', or 'crash'.","Write an incident-status update. Do not use any of these words: 'error', 'failure', or 'crash'.",case-insensitive absence of all three forbidden words,case-insensitive absence of all three forbidden words,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Moderate,None.
SFC-013,Describe how to make scrambled eggs without mentioning any specific number of eggs or minutes.,Describe how to make scrambled eggs without mentioning any specific number of eggs or minutes.,no numerals or number-words referring to egg count or cooking time appear in the response,no numerals or number-words referring to egg count or cooking time appear in the response,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Moderate,None.
SFC-014,Write a safety notice. Your response must not contain any digits (0-9) anywhere.,Write a safety notice. Your response must not contain any digits (0-9) anywhere.,no character in '0123456789' appears in the response,no character in '0123456789' appears in the response,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Hard,None.
SFC-015,Recommend a movie to a friend without using the word 'good' or any of its comparative or superlative forms.,Recommend a movie to a friend without using the word 'good' or any of its comparative or superlative forms.,"absence of 'good', 'better', and 'best'","absence of 'good', 'better', and 'best'",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Keyword Exclusion,Hard,None.
SFC-016,List two shipping options. Respond with exactly 2 numbered lines and nothing else.,List two shipping options. Respond with exactly 2 numbered lines and nothing else.,line_count == 2 AND each line matches a numbered-list pattern,line_count == 2 AND each line matches a numbered-list pattern,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Easy,None.
SFC-017,"Write a FAQ entry. Respond in exactly this structure: one line starting with 'Q:' followed by one line starting with 'A:', and nothing else.","Write a FAQ entry. Respond in exactly this structure: one line starting with 'Q:' followed by one line starting with 'A:', and nothing else.",2 lines; line 1 starts with 'Q:'; line 2 starts with 'A:',2 lines; line 1 starts with 'Q:'; line 2 starts with 'A:',KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Moderate,None.
SFC-018,"Write a one-sentence summary of our vacation policy. Wrap your entire response between a line of exactly five equals signs (=====) above it and a line of exactly five equals signs below it, with nothing else outside those two lines.","Wrap a short greeting message for a new customer between a line of exactly five equals signs (=====) above it and a line of exactly five equals signs below it, with nothing else outside those two lines.","response is exactly 3 lines: '=====', the one-sentence summary, '====='; nothing appears outside the two delimiter lines","response is exactly 3 lines: '=====', a short greeting message, '====='; nothing appears outside the two delimiter lines",MODIFIED,"Issue 1: paired a delimiter-wrapper structural check with an unrelated sentence-count requirement. Issue 6: 'our vacation policy' content was never supplied, so any correctness expectation about it would be undefined.","Replaced with a self-contained 'short greeting message' (no policy fact needed) and dropped the sentence-count clause, leaving the delimiter-wrapper structure as the sole tested behavior.",Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Moderate,None.
SFC-019,"Write a product caption. Your entire response must be wrapped in double quotation marks, with no text outside the quotes.","Write a product caption. Your entire response must be wrapped in double quotation marks, with no text outside the quotes.","response matches ^"".*""$ with no characters outside the outer quotes","response matches ^"".*""$ with no characters outside the outer quotes",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Hard,None.
SFC-020,"Write a short announcement divided into exactly 2 sections, each beginning with a bolded header in the form **Section Name**.","Write a short announcement divided into exactly 2 sections, each beginning with a bolded header in the form **Section Name**.","exactly 2 section headers matching **...** pattern, each followed by body text","exactly 2 section headers matching **...** pattern, each followed by body text",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Structural Formatting Compliance,Hard,None.
SFC-021,Reply only in French to this message: 'Can you confirm my order shipped?',Reply in French: 'Your order has shipped.',response is entirely in French and addresses the shipping-confirmation question,response is entirely in French and conveys that the order has shipped (a direct translation of the given statement; no external fact required),MODIFIED,Issue 6: 'Can you confirm my order shipped?' implicitly asked the model to confirm an unsupplied fact; only the language condition was actually deterministic.,"Adopted the reviewer's own suggested fix: reply in the target language to a fully given statement rather than an open, unanswerable question.",Capability 1: Instruction-following Fidelity,Response Language Fidelity,Easy,None.
SFC-022,A customer wrote asking about a refund in Spanish. Respond in Spanish.,A customer wrote asking about a refund in Spanish. Respond in Spanish.,response is entirely in Spanish,response is entirely in Spanish,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Easy,None.
SFC-023,"Write, in German, a one-sentence confirmation that a customer's refund has been processed.",Write a confirmation in German that the customer's refund has been processed.,response is entirely in German; sentence_count == 1; content is a refund-processed confirmation (no external fact needed to verify),response is entirely in German; content is a refund-processed confirmation (no external fact required to verify),MODIFIED,Issue 1: added a sentence-count constraint that is unnecessary for testing language selection.,Dropped 'one-sentence'; the refund-confirmation content remains fully self-contained (the fact to state is given directly in the instruction).,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Moderate,None.
SFC-024,A customer wrote to us: 'Merci beaucoup for your help!' Reply to them in French.,A customer wrote to us: 'Merci beaucoup for your help!' Reply to them in French.,response is entirely in French despite the embedded English clause in the customer's message,response is entirely in French despite the embedded English clause in the customer's message,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Moderate,None.
SFC-025,The customer is a native Portuguese speaker. Reply to their thank-you message in kind.,The customer is a native Portuguese speaker. Reply to their thank-you message in kind.,response is entirely in Portuguese,response is entirely in Portuguese,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Response Language Fidelity,Hard,None.
SFC-026,"List the days Monday, Wednesday, and Friday as our support hours, in that exact order, separated by commas, and nothing else.","List the days Monday, Wednesday, and Friday as our support hours, in that exact order, separated by commas, and nothing else.","exact string match: 'Monday, Wednesday, Friday'","exact string match: 'Monday, Wednesday, Friday'",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Easy,None.
SFC-027,"Describe the three steps to reset a password: request a reset link, click the link, set a new password. Present these three steps in exactly this order, each on its own line, with no extra steps.","Describe the three steps to reset a password: request a reset link, click the link, set a new password. Present these three steps in exactly this order, with no extra steps.","3 lines in the stated order, no additions or omissions","the response mentions 'request a reset link' before 'click the link' before 'set a new password', with no additional steps mentioned; no particular line or list formatting is required",MODIFIED,Issue 1: layered a line-based structural-formatting condition on top of the ordering check (the exact BAD pattern named in the review brief).,Scorer now checks only that the three steps are mentioned in the correct relative order in the response text; no particular line/paragraph structure is required.,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Moderate,None.
SFC-028,"State the four seasons in the order they occur starting from spring, one per line.","State the four seasons in the order they occur, starting from spring.","4 lines: Spring, Summer, Fall, Winter, in that order",the response mentions Spring before Summer before Fall before Winter; no particular line or list formatting is required,MODIFIED,Issue 1: layered a line-based structural-formatting condition on top of the ordering check.,Scorer now checks only relative mention-order of the four seasons; no line formatting required.,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Moderate,None.
SFC-029,"Describe the five steps of our order fulfillment process: order placed, payment verified, item picked, item packed, item shipped. Present them in exactly this order as a numbered list, with no steps added, removed, or reordered.","Describe the five steps of our order fulfillment process: order placed, payment verified, item picked, item packed, item shipped. Present them in exactly this order, with no steps added, removed, or reordered.","5 numbered lines, exact stated order, no additions or omissions",the response mentions all five steps in the exact stated relative order (order placed < payment verified < item picked < item packed < item shipped) with no additions or omissions; no numbered-list formatting is required,MODIFIED,Issue 1: layered a numbered-list structural-formatting condition (Structural Formatting Compliance's own mechanism) on top of the ordering check.,"Scorer now checks only relative mention-order of the five steps and that none are added, removed, or reordered; no numbered-list formatting required.",Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Hard,None.
SFC-030,"Explain how to escalate a support ticket, presenting these steps as a numbered list in exactly this order: (1) the agent reviews the ticket, (2) if the agent cannot resolve it, a supervisor is notified, (3) the ticket is closed. Do not add, remove, or reorder any step.","Explain how to escalate a support ticket, presenting these steps in exactly this order: first the agent reviews the ticket, then if the agent cannot resolve it a supervisor is notified, and finally the ticket is closed. Do not add, remove, or reorder any step.",3 numbered lines in the stated order; line 2 preserves the conditional qualifier ('if the agent cannot resolve it'); no additions or omissions,the response presents the three steps in the stated relative order (review < conditional supervisor notification < closure) and preserves the conditional qualifier ('if the agent cannot resolve it') attached to the second step; no additions or omissions; no numbered-list formatting is required,MODIFIED,"Issue 1: layered numbered-list formatting on top of both the ordering check and the conditional-branch content, the most compounded item in the subtype.",Scorer now checks relative mention-order plus preservation of the conditional qualifier in free-form or lightly-structured text; no numbered-list formatting required.,Capability 1: Instruction-following Fidelity,Ordering/Sequencing,Hard,None.
SFC-031,"Return a JSON object with exactly two fields: ""name"" (string) set to ""Basic Plan"" and ""price"" (number) set to 9.99. Output only the JSON object.","Return a JSON object with exactly two fields: ""name"" (string) set to ""Basic Plan"" and ""price"" (number) set to 9.99. Output only the JSON object.","JSON parses; keys == {name, price}; name == ""Basic Plan""; price == 9.99 as a number","JSON parses; keys == {name, price}; name == ""Basic Plan""; price == 9.99 as a number",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Easy,None.
SFC-032,"Return a JSON object with fields ""city"" (string) = ""Austin"" and ""zip"" (string) = ""78701"". Output only JSON.","Return a JSON object with fields ""city"" (string) = ""Austin"" and ""zip"" (string) = ""78701"". Output only JSON.",JSON parses; both fields present and exact-matched; zip kept as string,JSON parses; both fields present and exact-matched; zip kept as string,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Easy,None.
SFC-033,"Return JSON with fields ""name"" (string) = ""Wireless Mouse"", ""price"" (number) = 24.99, and ""in_stock"" (boolean) = true. Output only JSON.","Return JSON with fields ""name"" (string) = ""Wireless Mouse"", ""price"" (number) = 24.99, and ""in_stock"" (boolean) = true. Output only JSON.","JSON parses; 3 keys present and exact-matched, in_stock is boolean type","JSON parses; 3 keys present and exact-matched, in_stock is boolean type",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Moderate,None.
SFC-034,"Return JSON with only the field ""id"" (integer) = 5. Do not include any other fields, even optional ones.","Return JSON with only the field ""id"" (integer) = 5. Do not include any other fields, even optional ones.","JSON object has exactly one key, ""id"", equal to 5, with zero extra keys","JSON object has exactly one key, ""id"", equal to 5, with zero extra keys",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Moderate,None.
SFC-035,"Return JSON with exactly four fields: ""order_id"" (integer) = 88, ""customer"" (string) = ""J. Rivera"", ""placed_on"" (string, ISO date format) = ""2026-03-14"", and ""paid"" (boolean) = true.","Return JSON with exactly four fields: ""order_id"" (integer) = 88, ""customer"" (string) = ""J. Rivera"", ""placed_on"" (string, ISO date format) = ""2026-03-14"", and ""paid"" (boolean) = true.",JSON parses; 4 keys exact-matched; placed_on matches YYYY-MM-DD format,JSON parses; 4 keys exact-matched; placed_on matches YYYY-MM-DD format,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Flat Schema,Hard,None.
SFC-036,"Return a JSON object with a top-level field ""customer"" containing a nested object with fields ""id"" (integer) = 42 and ""active"" (boolean) = true. Output only JSON.","Return a JSON object with a top-level field ""customer"" containing a nested object with fields ""id"" (integer) = 42 and ""active"" (boolean) = true. Output only JSON.",JSON parses; customer.id == 42; customer.active == true (boolean type),JSON parses; customer.id == 42; customer.active == true (boolean type),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Easy,None.
SFC-037,"Return JSON with a top-level ""order"" object containing ""item"" (string) = ""Widget"" and ""quantity"" (integer) = 3. Output only JSON.","Return JSON with a top-level ""order"" object containing ""item"" (string) = ""Widget"" and ""quantity"" (integer) = 3. Output only JSON.","JSON parses; order.item == ""Widget""; order.quantity == 3 (integer type)","JSON parses; order.item == ""Widget""; order.quantity == 3 (integer type)",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Moderate,None.
SFC-038,"Return JSON with a top-level ""company"" object containing an ""address"" object with fields ""city"" = ""Denver"" and ""zip"" = ""80202"".","Return JSON with a top-level ""company"" object containing an ""address"" object with fields ""city"" = ""Denver"" and ""zip"" = ""80202"".","JSON parses; company.address.city == ""Denver""; company.address.zip == ""80202""","JSON parses; company.address.city == ""Denver""; company.address.zip == ""80202""",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Moderate,None.
SFC-039,"Return JSON structured as: a top-level field ""a"" containing ""b"" containing ""c"" equal to 1.","Return JSON structured as: a top-level field ""a"" containing ""b"" containing ""c"" equal to 1.",JSON parses; a.b.c == 1,JSON parses; a.b.c == 1,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Hard,None.
SFC-040,"Return JSON with a top-level ""ticket"" object containing an ""assignee"" object with three fields: ""name"" = ""Dana Kim"", ""team"" = ""Support"", and ""active"" (boolean) = true.","Return JSON with a top-level ""ticket"" object containing an ""assignee"" object with three fields: ""name"" = ""Dana Kim"", ""team"" = ""Support"", and ""active"" (boolean) = true.","JSON parses; ticket.assignee.name == ""Dana Kim""; ticket.assignee.team == ""Support""; ticket.assignee.active == true","JSON parses; ticket.assignee.name == ""Dana Kim""; ticket.assignee.team == ""Support""; ticket.assignee.active == true",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Nested Schema,Hard,None.
SFC-041,"Return JSON with field ""count"" as a number (not a string) equal to 7. Output only JSON.","Return JSON with field ""count"" as a number (not a string) equal to 7. Output only JSON.",typeof(count) == number AND count == 7,typeof(count) == number AND count == 7,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Easy,None.
SFC-042,"Return JSON with field ""in_stock"" as a boolean (not a string) equal to false. Output only JSON.","Return JSON with field ""in_stock"" as a boolean (not a string) equal to false. Output only JSON.",typeof(in_stock) == boolean AND in_stock == false,typeof(in_stock) == boolean AND in_stock == false,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Easy,None.
SFC-043,"Return JSON with field ""age"" as an integer (not a float or string) equal to 30.","Return JSON with field ""age"" as an integer (not a float or string) equal to 30.","typeof(age) == integer AND age == 30 (not 30.0 or ""30"")","typeof(age) == integer AND age == 30 (not 30.0 or ""30"")",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Moderate,None.
SFC-044,"Return JSON with a field ""first_name"" = ""Alex"" and a field ""middle_name"" explicitly set to null (not an empty string).","Return JSON with a field ""first_name"" = ""Alex"" and a field ""middle_name"" explicitly set to null (not an empty string).","middle_name is JSON null type, not an empty string """"","middle_name is JSON null type, not an empty string """"",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Moderate,None.
SFC-045,"Return JSON with field ""num_items"" representing a whole-number count of 4, expressed strictly as an integer with no decimal point.","Return JSON with field ""num_items"" representing a whole-number count of 4, expressed strictly as an integer with no decimal point.","typeof(num_items) == integer AND num_items == 4, not 4.0","typeof(num_items) == integer AND num_items == 4, not 4.0",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Type Strictness,Hard,None.
SFC-046,"Return a JSON object with field ""status"" whose value must be exactly one of: ""open"", ""closed"", ""pending"". Set it to ""pending"". Output only JSON.","Return a JSON object with field ""status"" whose value must be exactly one of: ""open"", ""closed"", ""pending"". Set it to ""pending"". Output only JSON.","status is a member of {open, closed, pending} AND equals ""pending""","status is a member of {open, closed, pending} AND equals ""pending""",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Easy,None.
SFC-047,"Return JSON with exactly two fields: ""status"" (exactly one of ""open"", ""closed"", ""pending"") set to ""open"", and ""priority"" (exactly one of ""low"", ""medium"", ""high"") set to ""medium"". Output only JSON.","A ticket was informally marked 'urgent' by the agent, but our system's severity field only accepts the values 'low', 'medium', 'high'. Return JSON with field 'severity' set to the correct enum equivalent of 'urgent'. Output only JSON.","JSON parses; status is a member of its enum and equals ""open""; priority is a member of its enum and equals ""medium""","JSON parses; severity is a member of {low, medium, high} AND equals 'high' (the closest valid member for a non-member synonym)",MODIFIED,"Issue 2: the prior version paired enum compliance on 'priority' with an unrelated, independent flat-integer field ('ticket_id'), which is a second fixture-driven assertion, not a fixture supporting the enum check.","Rewrote to a single field whose correct enum member must be derived by normalizing a non-member synonym ('urgent') to the closest valid enum value, keeping exactly one primary assertion (enum membership + correct member).",Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Moderate,None.
SFC-048,"A customer says their issue is completely blocking their work and needs attention right away. Return JSON with a ""severity"" field, exactly one of: ""low"", ""medium"", ""high"", reflecting this description.","A customer says their issue is completely blocking their work and needs attention right away. Return JSON with a ""severity"" field, exactly one of: ""low"", ""medium"", ""high"", reflecting this description.","severity is a member of the enum AND equals ""high"" (inferred, not copied verbatim)","severity is a member of the enum AND equals ""high"" (inferred, not copied verbatim)",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Moderate,None.
SFC-049,"Return JSON with field ""region"" restricted to exactly one of: ""north"", ""south"", ""east"", ""west"", ""central"", ""northeast"", set to ""northeast"".","Return JSON with field ""region"" restricted to exactly one of: ""north"", ""south"", ""east"", ""west"", ""central"", ""northeast"", set to ""northeast"".","region is a member of the 6-value enum AND equals ""northeast""","region is a member of the 6-value enum AND equals ""northeast""",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Hard,None.
SFC-050,"A ticket is confirmed to be neither open nor pending. Return JSON with a ""status"" field, exactly one of ""open"", ""closed"", ""pending"", consistent with that fact.","A ticket is confirmed to be neither open nor pending. Return JSON with a ""status"" field, exactly one of ""open"", ""closed"", ""pending"", consistent with that fact.","status is a member of the enum AND equals ""closed"" (derived by exclusion)","status is a member of the enum AND equals ""closed"" (derived by exclusion)",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Enum Constraint,Hard,None.
SFC-051,"A customer ordered 3 items at $4 each. Return JSON with field ""total"" (number) equal to the correct total cost.","A customer ordered 3 items at $4 each. Return JSON with field ""total"" (number) equal to the correct total cost.","JSON parses; total == 12 (computed, not merely present)","JSON parses; total == 12 (computed, not merely present)",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Easy,None.
SFC-052,"A shipment left the warehouse on day 2 and takes 5 days to arrive. Return JSON with field ""arrival_day"" (integer) equal to the correct arrival day.","A shipment left the warehouse on day 2 and takes 5 days to arrive. Return JSON with field ""arrival_day"" (integer) equal to the correct arrival day.",arrival_day == 7 (computed),arrival_day == 7 (computed),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Moderate,None.
SFC-053,"Return JSON with a field ""ratio"" equal to 3 divided by 4, expressed as a number.","Return JSON with a field ""ratio"" equal to 3 divided by 4, expressed as a number.",ratio == 0.75 (computed),ratio == 0.75 (computed),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Moderate,None.
SFC-054,"An item normally costs $80 and is marked down by 25%. Return JSON with field ""sale_price"" (number) equal to the correct sale price.","An item normally costs $80 and is marked down by 25%. Return JSON with field ""sale_price"" (number) equal to the correct sale price.",sale_price == 60 (computed),sale_price == 60 (computed),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Hard,None.
SFC-055,"A service costs $14.995 per unit for 2 units. Return JSON with field ""total"" (number) equal to the total cost, rounded to exactly 2 decimal places.","A service costs $14.995 per unit for 2 units. Return JSON with field ""total"" (number) equal to the total cost, rounded to exactly 2 decimal places.",total == 29.99 (computed and correctly rounded),total == 29.99 (computed and correctly rounded),KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Value Accuracy,Hard,None.
SFC-056,"Return JSON with field ""tags"" as an array of exactly 3 strings: ""new"", ""sale"", ""limited"", in that order. Output only JSON.","Return JSON with field ""tags"" as an array of exactly 3 strings: ""new"", ""sale"", ""limited"", in that order. Output only JSON.",array length == 3; exact values and order,array length == 3; exact values and order,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Easy,None.
SFC-057,"Return JSON with field ""scores"" as an array of exactly 4 integers: 10, 20, 30, 40, in that order.","Return JSON with field ""scores"" as an array of exactly 4 integers: 10, 20, 30, 40, in that order.",array length == 4; exact integer values and order,array length == 4; exact integer values and order,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Moderate,None.
SFC-058,"Return a JSON array (not an object) containing exactly two string elements: ""Mon"" and ""Tue"".","Return a JSON array (not an object) containing exactly two string elements: ""Mon"" and ""Tue"".",top-level JSON type is array (not object); length == 2; exact values/order,top-level JSON type is array (not object); length == 2; exact values/order,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Moderate,None.
SFC-059,"Return JSON with field ""attendees"" as an array of exactly 3 unique names, with no name repeated: ""Sam"", ""Lee"", ""Jo"".","Return JSON with field ""attendees"" as an array of exactly 3 unique names, with no name repeated: ""Sam"", ""Lee"", ""Jo"".",array length == 3; all elements unique; exact values,array length == 3; all elements unique; exact values,KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Hard,None.
SFC-060,"Meetings are scheduled on Monday, Wednesday, and Friday this week. Return JSON with field ""meeting_days"" as an array containing exactly one entry per meeting day mentioned, in the order mentioned.","Meetings are scheduled on Monday, Wednesday, and Friday this week. Return JSON with field ""meeting_days"" as an array containing exactly one entry per meeting day mentioned, in the order mentioned.","array length == 3; values == [""Monday"",""Wednesday"",""Friday""]; order preserved","array length == 3; values == [""Monday"",""Wednesday"",""Friday""]; order preserved",KEEP,None identified in this pass.,No change required; prompt remains methodologically sound.,Capability 2: Structured-output Validity & Value Accuracy,Array Structure,Hard,None.
