#,Change,Sheet(s) Affected,Cell/Row Affected,Justification
1,Corrected author name P004 from 'Wanqing Ma' to 'Wanqin Ma',Literature Matrix,P004 row - Authors column,Verified directly from the paper's own byline (HKUST) and PDF header via arXiv HTML v2 fetch.
12,Kept Status as 'Reading' for P034 (SGLang) — explicitly NOT upgraded to Read,Literature Matrix,P034 row - Status; Notes columns,"NeurIPS 2024 publication and GitHub repository confirmed live, but the exact 'multiple LLMs and multimodal models' roster and the vLLM/LMQL baseline-comparison detail were not confirmed directly from SGLang's own primary text (the latter is sourced from a third-party citing paper). Per explicit task instruction, Status remains 'Reading' with the same disclosure pattern as P033."
13,Added ACL Anthology ID and page range for P024,Literature Matrix,P024 row - Venue column; URL/DOI column,Added 2024.findings-emnlp.935 pp. 15928-15947 alongside the existing arXiv URL; confirmed authors' Cohere / Cohere For AI affiliation.
14,Confirmed P024 and P046 as fully peer-reviewed and published Findings papers; removed both from any 'weaker than peer-reviewed publication' framing,Literature Matrix; Foundational Papers; Closest Competitors,P024 row Notes; P046 row Notes; Foundational Papers rows 2 and 20; Closest Competitors P024 row,Explicit user instruction: P024 (Findings of EMNLP 2024) and P046 (Findings of ACL 2025) must not appear in any table or list describing papers with evidence weaker than peer-reviewed publication.
15,Replaced all fixed fault-count claims ('11 fault types' / '11 fault categories') with cautious non-numeric wording,Closest Competitors; ACL Novelty Assessment,Closest Competitors P004 row and P016 row; ACL Novelty Assessment CAIN 2024 row,The benchmark has not yet finalized its exact fault count (finalized only in Specification v1.0 Section 5); numeric claims were premature and are replaced with 'a multi-category suite of reproducible serving faults' / 'a controlled set of deployment-induced semantic fault categories' / 'multiple serving-fault families'.
16,Labeled P022 publication status: arXiv preprint only,Literature Matrix,P022 row - Notes column,Re-confirmed: no acceptance/venue statement found anywhere in the paper's own reference list; an earlier AI-generated claim of Findings of ACL 2026 could not be corroborated.
17,"Labeled P023 publication status: accepted, proceedings pending",Literature Matrix,P023 row - Notes column,arXiv page itself carries an acceptance statement for IEEE Cloud Summit 2026 (primary-source evidence of acceptance) but the official IEEE proceedings/DOI record was not independently opened in this pass — so it is not yet labeled 'peer-reviewed and officially published'.
18,"Labeled P035 publication status: workshop publication, peer-reviewed and officially published",Literature Matrix,P035 row - Notes column,Confirmed directly against the ACL Anthology permanent record (2026.trustnlp-main.27) — this record only exists post camera-ready/review; strongest-evidenced 2026 entry in the workbook.
19,Labeled P050 publication status: arXiv preprint only,Literature Matrix,P050 row - Notes column,No venue or acceptance claim appears anywhere in the record.
20,Preserved all pre-existing 'Could not verify' / 'Not reported' / 'Not applicable' unresolved fields exactly as they were; did not guess any value,All sheets,Throughout,"Per explicit instruction 10, no unresolved field was filled in with an invented value in this pass."
21,Added short access-limitation notes for P024 (exact base models/quantization methods) and P033/P034 (exact experimental model rosters),Literature Matrix,"P024, P033, P034 rows - Limitations and Notes columns","Per explicit instruction 11, these are disclosed as genuine, named access limitations rather than silently left ambiguous or silently resolved."
22,No changes made to the 38 non-essential Literature Matrix rows beyond the P004 author-name fix and the 2026 publication-status audit,Literature Matrix,All rows not listed above,Per task instruction not to repeat the broad literature audit or conduct another broad search in this pass.
