Database,Exact Query,Search Date,Filters,Approx. Result Count,Papers Screened,Papers Retained,Duplicates Removed,Strongest Paper Found,What the Search Revealed,Next Search Needed
Web search / arXiv,"""LLM-as-a-judge"" survey evaluation reliability arxiv",2026-07-23,None,8 shown,8,1,0,LLMs-as-Judges: A Comprehensive Survey,"Confirmed a comprehensive, actively maintained survey suitable as a Background/Evaluation-Method-Source reference for detector selection.",None major for this theme; survey adequately covers the sub-area.
Web search / arXiv,structured output evaluation JSON schema large language model reliability arxiv,2026-07-23,None,8 shown,8,1,0,JSONSchemaBench (arXiv 2501.10868),Confirmed a documented reliability gap between schema compliance and field-level value accuracy — directly relevant to SemaFailBench's structured-output fault dimension.,Verify 'The Structured Output Benchmark' (arXiv 2604.25359) which was found but not fully verified (PDF fetch returned no text) in this pass.
Web search / arXiv,multilingual quantization degradation large language model arxiv,2026-07-23,None,8 shown,8,2,0,How Does Quantization Affect Multilingual LLMs? (Findings of EMNLP 2024),Found a direct disagreement in the literature between this paper (and the tokenizer-bias paper) versus the K-quantization calibration paper on whether non-English languages are disproportionately harmed — worth reconciling explicitly in the manuscript.,"Independently verify authors/methodology of the K-quantization calibration paper (arXiv 2503.03592), currently only title-level confirmed."
Web search / arXiv / ACM DL / NeurIPS proceedings,vLLM PagedAttention SGLang LLM serving system paper,2026-07-23,None,10 shown,10,2,0,Efficient Memory Management for LLM Serving with PagedAttention (SOSP 2023),"Confirmed the two dominant open-source LLM serving stacks (vLLM, SGLang) as SOSP 2023 and NeurIPS 2024 peer-reviewed systems papers; both are throughput/memory-focused with zero output-correctness verification content.",None major — both foundational serving-stack papers fully verified against ACM DL / NeurIPS proceedings.
Web search / arXiv,LLM inference serving survey production deployment 2024 2025,2026-07-23,None,7 shown,7,1,0,LLM Inference Serving: Survey of Recent Advances and Opportunities (arXiv 2407.12391),"Confirms the serving-systems research agenda since 2023 is almost entirely throughput/efficiency-focused, with no coverage of semantic-quality or correctness monitoring — corroborating evidence for SemaFailBench's premise by omission.",None — sufficient for Background citation purposes.
Web search / arXiv,continuous production monitoring machine learning silent failure practitioner,2026-07-23,None,9 shown,9,3,0,Monitoring and Observability of Machine Learning Systems: Current Practices and Gaps (arXiv 2510.24142),Found the closest real-world corroboration of SemaFailBench's core motivation language ('production ML systems fail silently through wrong decisions') via a practitioner focus-group study; also surfaced a multivocal literature review (136 papers) and an online statistical monitoring paper.,Confirm whether P039/P040/P042 have since been accepted to a peer-reviewed venue beyond arXiv (checked as of 2026-07-23; none confirmed yet).
Web search / arXiv,semantic canary probe sentinel health check LLM deployment continuous prompt evaluation,2026-07-23,None,10 shown,10,0,0,(none retained as a direct canary-monitoring competitor),"Confirms the assignment's own warning: 'canary'/'probe'/'sentinel' query terms overwhelmingly surface security (intrusion-detection, honeypot) literature rather than LLM-serving quality-monitoring literature; no paper defining and evaluating semantic canary prompts specifically for LLM serving-deployment health monitoring was found in either search pass.","This remains the central, explicitly disclosed open gap supporting SemaFailBench's novelty claim; no further action needed beyond disclosure."
Web search / arXiv,decoding temperature top-p generation config regression stop sequence max token truncation sampling drift,2026-07-23,None,10 shown,10,1,0,Are Your LLMs Capable of Stable Reasoning? / G-Pass@k (Findings of ACL 2025),"Second dedicated attempt at this theme (queries expanded per the assignment's explicit list) still failed to surface a paper studying decoding-configuration drift as a deployment/serving fault; the one paper retained (G-Pass@k) is about intrinsic reasoning-stability measurement via repeated sampling, not deployment-configuration drift specifically.","Confirmed as the weakest-covered theme in both search passes; recommend a follow-up search restricted to MLSys, USENIX ATC/OSDI, and EuroSys proceedings specifically before manuscript finalization."
Web search / arXiv,RAG failure taxonomy retrieval augmented generation production reliability,2026-07-23,None,8 shown,8,1,0,A Systematic Taxonomy of Failure Modes in Retrieval-Augmented Generation Systems (TrustNLP 2026),"Found a very recent (2026), methodologically strong, ACL-workshop-peer-reviewed taxonomy directly analogous in structure to SemaFailBench's own intended approach, though scoped to RAG rather than general serving faults.",None major — the paper was independently confirmed via the ACL Anthology primary record.
Web search / arXiv,model routing failure wrong model served checkpoint mismatch MoE routing bug,2026-07-23,None,9 shown,9,1,0,Misrouter: Exploiting Routing Mechanisms for Input-Only Attacks on MoE LLMs (arXiv 2605.04446),Found only adversarial/security-framed routing literature; no paper on accidental/benign routing or checkpoint-version mismatches as a deployment-monitoring problem was found — consistent with the assignment's prediction that this theme would be under-covered.,"Confirmed as a persisting, disclosed gap; recommend searching 'canary deployment rollback LLM' and 'model version pinning inference' as a follow-up."
Web search / arXiv / ACL Anthology,instruction following robustness prompt sensitivity structured output multilingual evaluation reasoning consistency ACL Anthology,2026-07-23,ACL Anthology search restricted to ACL/EMNLP/Findings/NAACL venues,12 shown,12,6,0,ProSA: Assessing and Understanding the Prompt Sensitivity of LLMs (Findings of EMNLP 2024),"Directly searching the ACL Anthology (rather than general web search) surfaced six additional ACL-family peer-reviewed papers (ProSA, schema-RL structured output, BenchMAX, MMLU-ProX, G-Pass@k, instruction-following-robustness-to-injection) strengthening ACL-specific coverage as required by the assignment's Step 4.","None major for this pass; ACL Anthology coverage is now substantially stronger than the first pass, which relied primarily on general web search."
Web search / arXiv / IEEE Xplore / ICML proceedings,quantization safety risk patching ICML 2025 arxiv,2026-07-23,None,6 shown,6,1,0,Q-resafe: Assessing Safety Risks and Quantization-aware Safety Patching for Quantized LLMs (ICML 2025),"Found a third, independent, methodologically distinct piece of evidence (alongside P016 and P023) that quantization degrades LLM safety — this convergence across three independent studies makes quantization-induced safety degradation one of the best-evidenced fault categories in the entire review.",Directly open and confirm the official ICML 2025 proceedings record (only cross-checked via GitHub/arXiv in this pass) before final citation.
