Paper ID,Status,Priority,Paper Title,Authors,Year,Venue / Source,URL / DOI,Research Area,Main Problem,Failure Type,Deployment Fault Injected?,Online or Offline?,Models / Sizes,Serving Stack,Languages,Tasks / Dataset,Detection Method,Metrics,Infrastructure Signals Used?,Main Findings,Limitations,How It Relates to SemaFailBench,Research Gap It Leaves,Code / Data Available?,Notes,Date Added,Read Date,Paper Category,Relevance Score
P011,Reading,Medium,On the Loss of Context-awareness in General Instruction Fine-tuning,Yihan Wang; Andrew Bai; Nanyun Peng; Cho-Jui Hsieh,2024,arXiv preprint,https://arxiv.org/abs/2411.02688,Chat-template sensitivity,"Does applying a chat template during instruction fine-tuning and inference cause instruction-tuned LLMs to lose ""context awareness"" (the ability to use user-provided context), and if so, why?",Wrong chat template (template-induced capability loss),Partially,Offline,Three pre-trained LLMs of different sizes (exact identities not confirmed in this pass),Not reported,English,Four context-dependent downstream tasks (exact names not confirmed in this pass),Attention-allocation visualization; proposed context-dependency metric; conditional instruction fine-tuning intervention,Task performance on context-dependent benchmarks (exact metric names not confirmed in this pass),No,"Shows that applying the chat template during and after instruction fine-tuning induces a measurable loss of context-awareness in open-source LLMs, traceable to attention bias toward learned conversational roles; proposes a context-dependency indicator and conditional fine-tuning method that mitigates the loss across four tasks and three model sizes.",Studies context-awareness loss as a training-time phenomenon rather than a deployment/serving fault; does not test what happens when a chat template is applied incorrectly or inconsistently at serving time versus training time; limited to open-source models.,"Related Method; Fault-Design Source. Provides mechanistic evidence (attention bias) for why chat-template application changes model behavior, strengthening the theoretical basis for treating chat-template faults as a distinct, detectable failure category.","Does not test the training/serving-template mismatch scenario central to SemaFailBench (e.g., a template applied at inference that differs from the one used in fine-tuning), only the presence/absence of template application during fine-tuning itself.",Could not verify,"Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. arXiv:2411.02688, v1 5 Nov 2024, v3 2 Feb 2025 (venue of eventual publication, if any, not confirmed in this pass — treated as arXiv preprint per Rule 9).",2026-07-23,2026-07-23,Related Method; Fault-Design Source,3
P012,Reading,Medium,Problematic Tokens: Tokenizer Bias in Large Language Models,Jin Yang; Zhiqiang Wang; Yanbin Lin; Zunduo Zhao,2024,11th IEEE Special Session on Privacy and Security of Big Data (PSBD 2024),https://arxiv.org/abs/2406.11214,Tokenizer reliability,"How does a tokenizer vocabulary constructed independently of actual training-data composition propagate under-trained/untrained tokens that disproportionately harm under-resourced languages such as Chinese and Korean, using GPT-4o as a case study?",Tokenizer mismatch,No,Offline,"GPT-4, GPT-4o (size undisclosed)",OpenAI API,English; Chinese; Korean (multilingual),Custom tokenization-mechanics analysis (not a standard public benchmark),Tokenization mechanics analysis (vocabulary/under-trained-token dissection),Not reported (qualitative/token-level analysis per abstract),No,"Traces disparities in LLM performance on under-resourced languages to tokenizer vocabulary construction; shows GPT-4o's simplified token-handling amplifies propagation of under-trained tokens, contributing to hallucination-like behavior and raising data-security/ethical concerns for those languages.",Focused on tokenizer bias as a training-time/vocabulary-construction issue rather than a deployment-time mismatch; single closed-model case study (GPT-4o) limits generalizability; no controlled fault injection or serving-configuration framing.,"Fault-Design Source. Supports inclusion of tokenizer-related faults and multilingual evaluation in SemaFailBench, particularly the risk that under-resourced-language outputs are more vulnerable to silent tokenizer-related degradation.","Does not address the deployment-specific scenario of a tokenizer/model mismatch introduced post-hoc (e.g., wrong tokenizer version loaded at serving time) — the vocabulary issues studied are inherent to model training, not to a serving misconfiguration.","Yes (https://github.com/yeyimilk/LLMGPT4o, per arXiv abstract)","Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. Venue confirmed via arXiv Comments field: ""11th IEEE Special session on Privacy and Security of Big Data (PSBD 2024)"", part of IEEE Big Data 2024. arXiv:2406.11214, v3 14 Nov 2024.",2026-07-23,2026-07-23,Fault-Design Source,3
P013,Read,Medium,Tokenization Matters! Degrading Large Language Models through Challenging Their Tokenization,Dixuan Wang; Yanda Li; Junyuan Jiang; Zepeng Ding; Guochao Jiang; Jiaqing Liang; Deqing Yang,2024,arXiv preprint,https://arxiv.org/abs/2405.17067,Tokenizer reliability,"Can an adversarial dataset specifically targeting tokenizer segmentation weaknesses (ADT: Adversarial Dataset for Tokenizer) reliably degrade the output quality of leading LLMs, particularly in Chinese?",Tokenizer mismatch,No,Offline,GPT-4o; Llama-3; DeepSeek-R1; and other open-source LLMs (exact sizes not confirmed in this pass),Not reported,Chinese (primary); other languages via open-source LLM vocabularies,ADT (Adversarial Dataset for Tokenizer): ADT-Human (manually constructed) and ADT-Auto (automatically generated) subsets,Adversarial dataset construction targeting tokenization boundaries,Task/response accuracy under adversarial tokenization stress (exact aggregate numbers not confirmed in this pass),No,"Constructs the ADT adversarial dataset by drawing on multiple open-source LLM vocabularies to specifically challenge tokenization; shows this is highly effective at degrading output quality across leading LLMs including GPT-4o, Llama-3, and DeepSeek-R1, with the effect most pronounced in Chinese; the data-generation method is reported to generalize to any open-source LLM.",Author list not independently verified in this pass; adversarial framing targets inherent tokenizer weaknesses rather than a deployment-introduced tokenizer mismatch; primarily Chinese-language focus limits direct generalization claims to other languages.,"Fault-Design Source. The ADT construction methodology is a candidate source of stress-test prompts for SemaFailBench's tokenizer-mismatch fault category, especially for CJK and other languages sensitive to segmentation.",Targets intrinsic tokenizer weaknesses via adversarial inputs rather than testing whether a *deployment-introduced* tokenizer/model version mismatch produces detectable degradation distinguishable from normal operation.,Could not verify,"CORRECTED in second-pass review: author list resolved via cross-referencing ADS abstract-service listing (2024arXiv240517067W) and secondary aggregator citations against the arXiv record: Dixuan Wang, Yanda Li, Junyuan Jiang, Zepeng Ding, Guochao Jiang, Jiaqing Liang, Deqing Yang (Fudan University, per secondary sources — institutional affiliation not independently confirmed from a primary-source PDF fetch in this pass). Status upgraded from 'Reading' to 'Read'. Also note: some secondary sources list 'Qwen2.5-max' rather than 'DeepSeek-R1' among tested models — the arXiv abstract itself names GPT-4o, Llama-3, and 'DeepSeek-R1 and so on', so DeepSeek-R1 is retained as primary-source-confirmed.",2026-07-23,2026-07-23,Fault-Design Source,3
P014,Reading,Medium,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,Ying Sheng; Shiyi Cao; Dacheng Li; Coleman Hooper; Nicholas Lee; Shuo Yang; Christopher Chou; Banghua Zhu; Lianmin Zheng; Kurt Keutzer; Joseph E. Gonzalez; Ion Stoica,2023,arXiv preprint (widely cited in connection with MLSys 2024; independent confirmation of MLSys proceedings publication not completed in this pass),https://arxiv.org/abs/2311.03285,Adapter/version reliability,How can a serving system scalably batch and serve thousands of concurrently active LoRA adapters on shared base-model GPUs without prohibitive memory fragmentation or throughput loss?,Not applicable (systems/throughput paper; does not study adapter-selection correctness failures),No,Online,Not fully specified in abstract; general LoRA-adapted LLMs,Custom serving stack (S-LoRA); compared against HuggingFace PEFT and vLLM (naive LoRA support),Not reported,Throughput benchmarking of concurrent adapter serving,"Not applicable (systems paper, not a fault-detection paper)",Throughput; number of concurrently served adapters,Yes,S-LoRA introduces Unified Paging (a shared memory pool for adapter weights and KV cache) and custom CUDA kernels for heterogeneous LoRA batching; reports up to 4x throughput improvement and orders-of-magnitude more concurrently served adapters versus HuggingFace PEFT and naive vLLM LoRA support.,"Purely a systems/throughput contribution; does not evaluate output-quality correctness of adapter serving, does not study stale or mismatched adapters, and reports only infrastructure-level metrics (throughput), not semantic quality.","Background. Establishes the multi-adapter serving architecture (S-LoRA-style adapter paging) in which SemaFailBench's ""stale, missing, or incorrect LoRA adapter"" fault category would occur in practice, but does not itself study or detect such faults.",Optimizes adapter-serving throughput and memory but provides no mechanism to verify that the *correct* adapter was actually selected and applied for a given request — exactly the gap SemaFailBench's adapter-mismatch fault targets.,"Yes (https://github.com/S-LoRA/S-LoRA, per arXiv abstract)","Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. arXiv:2311.03285, v1 6 Nov 2023, v3 5 Jun 2024. MLSys 2024 publication commonly cited in secondary sources but not independently opened/confirmed against official MLSys proceedings in this pass — venue recorded conservatively as arXiv preprint per Rule 9 pending that confirmation.",2026-07-23,2026-07-23,Background,3
P015,Reading,Low,A Note on LoRA,Vlad Fomenko; Han Yu,2024,arXiv preprint,https://arxiv.org/abs/2404.05086,Adapter/version reliability,"What practical deployment considerations and clarifying perspectives extend the original LoRA paper, particularly around applying LoRA adapters at scale in production?",Adapter mismatch (conceptual discussion),No,Conceptual,Not model-specific,Not applicable,Not applicable,Not applicable (no new experiments per abstract),Not applicable,Not applicable,No,"A short technical note (no new experiments) offering additional perspectives on deploying LoRA at scale, extending the original LoRA paper's discussion without introducing new empirical results.",Explicitly notes no new experiments; purely discursive/conceptual; cannot support empirical claims about adapter-mismatch detection.,"Background. Cited in early search results for discussion of a ""deployment-time architecture mismatch"" in LoRA serving (separate inference pathway for LoRA weights prior to merging); useful only as conceptual background, not as evidence.",Offers no empirical study of adapter mismatch detection; a purely conceptual note that cannot by itself support claims in a Related Work section without independent empirical corroboration.,Not applicable,"Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. arXiv:2404.05086, submitted 7 Apr 2024. Low priority — background/context only, cite cautiously given its own disclosed lack of new experiments.",2026-07-23,2026-07-23,Background,1
P016,Read,Medium,Investigating the Impact of Quantization Methods on the Safety and Reliability of Large Language Models,Artyom Kharinaev; Viktor Moskvoretskii; Egor Shvetsov; Kseniia Studenikina; Mikhail Bykov; Evgeny Burnaev,2025,arXiv preprint (cs.CR),https://arxiv.org/abs/2502.15799,Quantization reliability,"Do post-training quantization (PTQ) and quantization-aware training (QAT) methods degrade LLM safety alignment, and does any single quantization method consistently preserve safety across benchmarks and precision settings?",Quantization degradation (safety-alignment dimension),Yes,Offline,"Four LLMs, each evaluated across 66 quantized variants (four PTQ methods: QUIK, AWQ, AQLM, Q-PET among those named; two QAT methods including QLoRA/STE); exact base-model identities not confirmed in this pass",Not reported,English (human-centric evaluation),"OpenMiniSafety (human-curated safety dataset, 1,067 questions; 4,268 annotated QA pairs) plus four safety benchmarks",Human safety annotation + automated safety benchmarks across quantized model variants,Human safety-evaluation scores; benchmark-specific safety metrics (exact names not confirmed in this pass),No,"Introduces OpenMiniSafety and evaluates 66 quantized variants of four LLMs across PTQ and QAT methods; finds both PTQ and QAT can degrade safety alignment, QAT methods such as QLoRA/STE perform less safely than some PTQ alternatives, no single method dominates across benchmarks/precisions, and precision-specialized methods (e.g., QUIK/AWQ for 4-bit, AQLM/Q-PET for 2-bit) excel only at their target precision.","Focuses specifically on the safety-alignment dimension of quantization degradation rather than general task-quality regression; author identities not independently confirmed in this pass; no deployment/serving-monitoring framing (evaluates static model checkpoints, not a live serving pipeline).","Fault-Design Source. Directly supports SemaFailBench's ""quantization-related degradation"" fault category and specifically motivates including safety-alignment regression, not just task accuracy, as a canary-detectable dimension of quantization-induced harm.","Compares quantization methods on static safety benchmarks; does not test whether lightweight canary prompts could detect a quantization-induced safety or quality regression in a live serving deployment where infrastructure metrics (latency, throughput, errors) remain nominal.","Yes (OpenMiniSafety dataset and evaluations ""publicly released,"" per abstract; repository URL not confirmed in this pass)","CORRECTED in second-pass review: author list resolved via web search cross-checking the arXiv PDF header (arXiv:2502.15799v2 [cs.CR], revised 29 Jun 2025 — note the paper moved from an unspecified primary category to cs.CR between v1 and v2, updated in the Venue field accordingly). Status upgraded from 'Reading' to 'Read'.",2026-07-23,2026-07-23,Fault-Design Source,4
P017,Reading,Medium,JSONSchemaBench: A Rigorous Benchmark of Structured Outputs for Language Models,Saibo Geng; Hudson Cooper; Michał Moskal; Samuel Jenkins; Julian Berman; Nathan Ranchin; Robert West; Eric Horvitz; Harsha Nori,2025,arXiv preprint,https://arxiv.org/abs/2501.10868,Structured-output evaluation,"How effective are current constrained-decoding frameworks at producing schema-compliant, high-quality structured (JSON) outputs across efficiency, constraint coverage, and output-quality dimensions?",Output-distribution drift (structured-output compliance/quality),No,Offline,Not fully specified; evaluation is framework-centric,Guidance; Outlines; Llama.cpp; XGrammar; OpenAI API; Gemini API,"Not reported (schema-structured evaluation, language not the axis of analysis)","JSONSchemaBench (10,000 real-world JSON schemas) + official JSON Schema Test Suite","Constrained-decoding evaluation across efficiency, coverage, and output-quality axes",Constraint-compliance rate; generation efficiency; output-quality scores (exact metric names not confirmed in this pass),No,"Introduces JSONSchemaBench (10K real-world JSON schemas) and evaluates six constrained-decoding frameworks; finds that while most frameworks can guarantee schema compliance, meaningful gaps remain in efficiency and quality of generated structured outputs across constraint types.",Benchmarks constrained-decoding frameworks under normal operating conditions rather than under deployment faults; does not test whether schema-compliant-but-wrong-value outputs (a documented failure mode in related structured-output work) would be caught by a monitoring pipeline.,Evaluation-Method Source. JSONSchemaBench-style schema-compliance testing is a candidate detection method/baseline for SemaFailBench when the target application has structured-output requirements; also informs metric selection (compliance rate vs. value accuracy).,"Evaluates structured-output quality as a static benchmark of decoding frameworks; does not connect schema-compliance failures to underlying deployment faults (chat template, adapter, quantization) or to a production-monitoring protocol with normal infrastructure telemetry.","Yes (https://github.com/guidance-ai/jsonschemabench, per arXiv abstract)","Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. arXiv:2501.10868, v1 18 Jan 2025, v3 27 Feb 2025.",2026-07-23,2026-07-23,Evaluation-Method Source,3
P018,Reading,Medium,Where LLM Agents Fail and How They can Learn From Failures,Kunlun Zhu; Zijia Liu; Bingxuan Li; Muxin Tian; Yingxuan Yang; Jiaxun Zhang; Pengrui Han; Qipeng Xie; Fuyang Cui; Weijia Zhang; Xiaoteng Ma; Xiaodong Yu; Gowtham Ramesh; Jialian Wu; Zicheng Liu; Pan Lu; James Zou; Jiaxuan You,2025,arXiv preprint,https://arxiv.org/abs/2509.25370,Agent observability,"How do single root-cause errors in LLM-agent modules (memory, reflection, planning, action, system) cascade into overall task failure, and can a modular error taxonomy plus debugging framework help agents recover?",Agent reasoning failure,No,Offline,"Not fully specified in abstract; agents evaluated on ALFWorld, GAIA, WebShop",Agent framework (not further specified in abstract),English,"AgentErrorBench (annotated failure trajectories from ALFWorld, GAIA, WebShop)",AgentErrorTaxonomy (modular failure classification) + AgentDebug root-cause isolation framework,All-correct accuracy; step accuracy; relative task-success improvement,No,"Introduces AgentErrorTaxonomy and AgentErrorBench (systematically annotated failure trajectories) and AgentDebug, a debugging framework isolating root-cause failures; reports 24% higher all-correct accuracy and 17% higher step accuracy than the strongest baseline, and up to 26% relative task-success improvement when agents use AgentDebug's corrective feedback to recover.","Focused on agent-internal reasoning/planning failures in interactive-task benchmarks (ALFWorld, GAIA, WebShop) rather than serving/deployment-configuration faults; no infrastructure-signal comparison; taxonomy targets agent architecture, not model-serving pipeline faults.","Related Method; Fault-Design Source (agent-failure taxonomy design pattern). Demonstrates the value of a modular failure taxonomy plus annotated failure-trajectory benchmark, a design pattern SemaFailBench's taxonomy of deployment-induced silent semantic failures can mirror.","Taxonomizes and debugs agent-internal reasoning failures, not the serving-layer failures (chat template, tokenizer, adapter, quantization, routing) that SemaFailBench targets, and does not evaluate under a constraint that infrastructure telemetry remains healthy.","Yes (https://github.com/ulab-uiuc/AgentDebug, per arXiv abstract)","Reviewed at abstract/metadata level for this interim pass (verified via primary source listed in URL/DOI); full-text Method/Experiments/Limitations sections not yet reviewed line-by-line. arXiv:2509.25370, submitted 29 Sep 2025.",2026-07-23,2026-07-23,Related Method; Fault-Design Source,3
P019,Read,Low,TRAIL: Trace Reasoning and Agentic Issue Localization,Darshan Deshpande; Varun Gangal; Hersh Mehta; Jitin Krishnan; Anand Kannappan; Rebecca Qian,2025,arXiv preprint (Patronus AI industry research report),https://arxiv.org/abs/2505.08638,Agent observability,"Can LLM-based evaluators scalably localize and classify errors in long, multi-agent workflow traces, replacing manual domain-specific human trace analysis?",Agent reasoning failure,No,Offline,Multiple long-context LLMs including Gemini-2.5-pro (best performer),Not reported,English,"TRAIL (148 human-annotated agentic workflow traces from single- and multi-agent systems, software engineering and open-world information retrieval)",Formal error taxonomy + LLM-as-judge trace debugging,"Trace-debugging accuracy (best model, Gemini-2.5-pro, scored 11%)",No,"Introduces a formal taxonomy of agentic-workflow error types and TRAIL, a 148-trace human-annotated dataset; finds that modern long-context LLMs perform poorly at trace debugging, with the best model (Gemini-2.5-pro) scoring only 11% on the benchmark.","Author list not independently confirmed in this pass; low absolute performance suggests LLM-as-judge trace debugging is not yet reliable, limiting its use as a production detector; dataset size (148 traces) is modest.","Evaluation-Method Source. TRAIL's finding that LLM-as-judge trace debugging performs poorly (11% best-case) is directly relevant evidence for SemaFailBench when selecting or calibrating LLM-judge baselines, cautioning against over-reliance on LLM-as-judge without validation.","Evaluates trace-level debugging accuracy for agent workflows generally; does not test detection of deployment-induced semantic regressions in single-turn serving scenarios, nor compare against infrastructure-health signals.",Yes (https://github.com/patronus-ai/trail-benchmark; dataset also on Hugging Face at PatronusAI/TRAIL),"CORRECTED in second-pass review: authors and affiliation (Patronus AI) resolved via Hugging Face dataset card and GitHub repository, cross-checked against arXiv. Status upgraded from 'Reading' to 'Read'. Note: this is an industry (Patronus AI) research report distributed via arXiv, not a peer-reviewed conference/journal paper — Priority/Category reflect that it is an industry benchmark contribution, not an academically vetted one.",2026-07-23,2026-07-23,Evaluation-Method Source,3
P020,Read,High,Holistic Evaluation of Language Models,Percy Liang; Rishi Bommasani; Tony Lee; Dimitris Tsipras; Dilara Soylu; Michihiro Yasunaga; Yian Zhang; Deepak Narayanan; Yuhuai Wu; Ananya Kumar; Benjamin Newman; Binhang Yuan; Bobby Yan; Ce Zhang; Christian Cosgrove; Christopher D. Manning; Christopher Ré; Diana Acosta-Navas; Drew A. Hudson; Eric Zelikman; Esin Durmus; Faisal Ladhak; Frieda Rong; Hongyu Ren; Huaxiu Yao; Jue Wang; Keshav Santhanam; Laurel Orr; Lucia Zheng; Mert Yuksekgonul; Mirac Suzgun; Nathan Kim; Neel Guha; Niladri Chatterji; Omar Khattab; Peter Henderson; Qian Huang; Ryan Chi; Sang Michael Xie; Shibani Santurkar; Surya Ganguli; Tatsunori Hashimoto; Thomas Icard; Tianyi Zhang; Vishrav Chaudhary; William Wang; Xuechen Li; Yifan Mai; Yuhui Zhang; Yuta Koreeda,2023,"Transactions on Machine Learning Research (TMLR), 2023",https://arxiv.org/abs/2211.09110,Benchmark design,"How can language-model evaluation be made holistic, transparent, and standardized across a broad taxonomy of scenarios and metrics, rather than relying on narrow, inconsistently reported accuracy figures?",General observability (evaluation standardization),No,Offline,"30 prominent language models (open, limited-access, and closed), evaluated with 5-shot prompting as the standard adaptation procedure; named examples include BLOOM (176B), Cohere xlarge v20220609 (52.4B), GPT-NeoX (20B), UL2 (20B), OPT (175B), and Anthropic-LM v4-s3 (52B) — full 30-model roster only partially enumerable from the sections retrieved in this pass",Not applicable (offline benchmark evaluation),"Primarily English, with some multilingual/dialect scenarios","42 scenarios (16 core + 26 targeted) spanning question answering, summarization, and other tasks; HELM toolkit",Multi-metric standardized benchmark evaluation,Accuracy; calibration; robustness; fairness; bias; toxicity; efficiency (7 metrics per scenario),No,"Evaluates 30 prominent LMs across 42 scenarios and 7 metrics under standardized conditions, raising the average fraction of core scenarios any model had been evaluated on from 17.9% (prior practice) to 96.0%; surfaces 25 top-level findings and releases all raw prompts/completions for transparency.","A point-in-time offline benchmark rather than a continuous production-monitoring framework; does not address deployment-induced regressions between evaluation snapshots, nor infrastructure-health correlation; scenario coverage reflects English-centric NLP benchmarks predominantly.","Foundation; Evaluation-Method Source. HELM's multi-metric, multi-scenario evaluation design is a methodological precedent for SemaFailBench's evaluation protocol (breadth across capabilities/severities), though HELM evaluates static model releases, not live serving deployments.","HELM standardizes offline, point-in-time evaluation of model releases; it does not evaluate whether a *serving deployment* of an already-evaluated model has silently regressed due to configuration drift, and does not consider low-cost continuous monitoring budgets.","Yes (https://crfm.stanford.edu/helm/v1.0, HELM toolkit and results, per arXiv abstract)","CORRECTED (third pass): full text sections inspected via arXiv PDF/HTML extract in the third pass, confirming the 5-shot adaptation procedure and several named models beyond the abstract-level summary. Journal reference confirmed directly on arXiv abstract page: ""Published in Transactions on Machine Learning Research (TMLR), 2023."" arXiv:2211.09110, v1 16 Nov 2022, v2 1 Oct 2023. Remaining unresolved: full 30-model roster not itemized from the sections retrieved. Status upgraded to 'Read'.",2026-07-23,2026-07-25,Foundation; Evaluation-Method Source,4
P021,Read,High,Instruction-Following Evaluation for Large Language Models,Jeffrey Zhou; Tianjian Lu; Swaroop Mishra; Siddhartha Brahma; Sujoy Basu; Yi Luan; Denny Zhou; Le Hou,2023,arXiv preprint (Google Research),[2311.07911] Instruction-Following Evaluation for Large Language Models,Structured-output evaluation,"Can instruction-following ability be evaluated objectively and reproducibly using automatically ""verifiable instructions"" (e.g., word-count or keyword-frequency constraints), avoiding the cost/bias problems of human evaluation and LLM-based auto-evaluation?","Not applicable (capability-evaluation benchmark, not a deployment-fault study)",No,Offline,"Two models: GPT-4 (scraped via API, Nov 2023) and PaLM 2 S (scraped via API, Aug 2023)",Not applicable,English,IFEval (~500 prompts; 25 types of verifiable instructions),Rule-based verifiable-instruction checking (deterministic scoring functions),"Four accuracy scores: prompt-level strict accuracy, instruction-level strict accuracy, prompt-level loose accuracy, instruction-level loose accuracy. Reported: GPT-4 76.89%/83.57% (prompt/instruction-level strict); PaLM 2 S 43.07%/55.76%.",No,"Introduces IFEval, defining 25 types of automatically verifiable instructions (e.g., length constraints, keyword frequency, formatting) and constructing ~500 prompts; establishes that instruction-following can be measured through deterministic, reproducible scoring rather than subjective human or LLM-judge evaluation. Loose-accuracy variants apply simple response transformations (e.g., markdown/first-last-line stripping) to reduce false negatives at some cost of false positives.","Static offline benchmark using a small, fixed template set of verifiable instructions; not designed for continuous production monitoring; covers a narrow slice of instruction-following (verifiable constraints only), not general output quality.","Baseline Source; Evaluation-Method Source. IFEval-style deterministic, rule-checkable prompts are directly usable as low-cost semantic-canary building blocks for SemaFailBench, since verifiable constraints can be checked automatically at production scale without an LLM judge.","Provides a reusable verifiable-instruction format but was designed for one-off model evaluation, not for repeated canary probing of a live deployment to detect configuration-induced regressions against a healthy baseline.","Yes (https://github.com/google-research/google-research/tree/master/instruction_following_eval, per arXiv abstract)","CORRECTED (third pass): full text sections inspected via arXiv PDF extract in the third pass, resolving the two exact models tested (GPT-4, PaLM 2 S), the four accuracy-score definitions, and the loose-accuracy transformation design. arXiv:2311.07911, single version, submitted 14 Nov 2023. Status upgraded to 'Read'.",2026-07-23,2026-07-25,Baseline Source; Evaluation-Method Source,5
P022,Read,Medium,From Signal Degradation to Computation Collapse: Uncovering the Two Failure Modes of LLM Quantization,Chenxi Zhou; Pengfei Cao; Jiang Li; Bohan Yu; Jinyu Ye; Jun Zhao; Kang Liu,2026,arXiv preprint,https://arxiv.org/abs/2604.19884,Quantization reliability,"Are there qualitatively distinct failure modes of LLM quantization beyond a single 'performance cliff,' and can they be characterized mechanistically in terms of how quantization disrupts knowledge storage and recall rather than merely as numerical error?",Quantization degradation,Yes,Offline,Representative model families under weight-only Post-Training Quantization (exact model names not itemized in the sections retrieved in this pass),Not reported,English (evaluation anchors on factual knowledge recall),Factual knowledge recall tasks (component-level and representation-space analysis; specific dataset names not itemized in the sections retrieved in this pass),"Mechanism-aware component-level analysis of quantization error propagation, including representation-space/structural-integrity examination",Not itemized in the sections retrieved in this pass (component-level and knowledge-recall-based diagnostics per the abstract/intro),No,"Identifies two qualitatively distinct (not merely differently severe) LLM quantization failure modes: Signal Degradation, where computational patterns remain intact but precision is impaired by cumulative error, and Computation Collapse, where key components fail outright and destroy the signal in early layers; shows targeted, training-free repair mitigates Signal Degradation but is ineffective for Computation Collapse, which instead requires structural reconstruction.","Per the paper's own stated limitations (directly confirmed from primary text): the investigation focuses on weight-only quantization across representative model families, so extending findings to activation quantization is left to future work; evaluation anchors on factual knowledge recall, so how these failure modes manifest in complex reasoning tasks is left as a separate direction.",Fault-Design Source. The two-failure-mode framing (signal degradation vs. computation collapse) is directly usable to refine SemaFailBench's quantization-fault taxonomy into distinguishable severity levels rather than a single generic 'quantization degradation' category.,"Diagnoses quantization failure modes mechanistically on static factual-recall tasks; does not test whether these two failure modes are distinguishable via a lightweight production canary, nor whether they remain undetected by conventional serving-infrastructure telemetry.",Could not verify,"CORRECTED in second-pass review: authors resolved directly from the primary arXiv HTML source (Chenxi Zhou, Pengfei Cao [corresponding author], Jiang Li, Bohan Yu, Jinyu Ye, Jun Zhao, Kang Liu; affiliations include NLPR, Institute of Automation, Chinese Academy of Sciences, per author email domain @nlpr.ia.ac.cn). PUBLICATION STATUS (confirmed third pass): arXiv preprint only. An earlier AI-generated web-search summary claimed this paper was 'accepted to Findings of ACL 2026' — this claim was checked directly against the primary arXiv HTML text (references section) and could NOT be corroborated; the paper's own reference list cites other ACL papers but contains no acceptance/venue statement for itself. Venue is therefore conservatively recorded as 'arXiv preprint' per Rule 9. Status upgraded from 'Reading' to 'Read' since the primary text (abstract, intro, limitations, references) was directly inspected.",2026-07-23,2026-07-23,Fault-Design Source,3
